issue_id,issue_number,volume,no_volume,display_volume_with_number,series_id,indicia_pub_not_printed,no_brand,publication_date,key_date,sort_code,price,page_count,page_count_uncertain,indicia_frequency,no_indicia_frequency,editing,no_editing,notes,created,modified,reserved,deleted,is_indexed,isbn,valid_isbn,no_isbn,variant_of_id,variant_name,barcode,no_barcode,title,no_title,on_sale_date,on_sale_date_uncertain,rating,no_rating
0,18967,21,,0,0,1570,0,0,Feb-65,1965-02-00,42898,0.12 USD,36,0,,0,Stan Lee,0,,2/6/01 0:00,11/10/14 19:17,0,0,1,,,1,NULL,,,1,,0,,0,
0,18181,8,,0,0,1570,0,0,Jan-64,1964-01-00,42881,0.12 USD,36,0,,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,5/1/15 0:04,0,0,1,,,1,NULL,,,1,,0,10/8/63,0,
1,0,18495,6,1,0,0,1571,0,0,Jul-64,7/10/64,43318,0.12 USD,36,0,"monthly, with the exception of December, February, April and June",0,Stan Lee,0,,2/6/01 0:00,2/7/15 17:18,0,0,1,,,1,NULL,,,1,,0,,0
0,17998,6,1,0,0,1570,0,0,Nov-63,1963-11-00,42878,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,4/1/15 18:27,0,0,1,,,1,NULL,,,1,,0,8/8/63,0,
0,17945,5,,0,0,1570,0,0,Oct-63,1963-10-00,42876,0.12 USD,36,0,,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,4/1/15 18:16,0,0,1,,,1,NULL,,,1,,0,7/9/63,0,
0,18385,12,,0,0,1570,0,0,May-64,1964-05-00,42887,0.12 USD,36,0,,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,5/1/15 0:05,0,0,1,,,1,NULL,,,1,,0,2/11/64,0,
0,18975,62,1,0,0,1442,0,0,Feb-65,1965-02-00,38548,0.12 USD,36,0,Monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,
0,18055,21,1,0,0,1482,0,0,Dec-63,1963-12-00,40131,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in the U. S. Copyright Office filings.,2/6/01 0:00,8/12/15 20:16,0,0,1,,,1,NULL,,,1,,0,9/10/63,0,
0,17669,14,1,0,0,1482,0,0,May-63,1963-05-00,40122,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in the U. S. Copyright Office filings.,2/6/01 0:00,4/3/15 13:39,0,0,1,,,1,NULL,,,1,,0,2/12/63,0,
0,18000,20,1,0,0,1482,0,0,Nov-63,1963-11-00,40130,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in the U. S. Copyright Office filings.,2/6/01 0:00,8/12/15 20:16,0,0,1,,,1,NULL,,,1,,0,8/8/63,0,
0,18337,11,1,0,0,1570,0,0,Apr-64,1964-04-00,42886,0.12 USD,36,0,,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,5/1/15 0:05,0,0,1,,,1,NULL,,,1,,0,1/10/64,0,
1,0,23288,122,1,0,0,1860,0,0,Feb-70,1970-02-00,49646,0.15 USD,36,0,Monthly,0,Stan Lee,0,,2/6/01 0:00,8/3/12 10:11,0,0,1,,,0,NULL,,,1,,0,,0
0,18054,7,1,0,0,1570,0,0,November [December] 1963,1963-11-00,42879,0.12 USD,36,0,monthly,0,Stan Lee,0,The indicia mistakenly reads November. The cover date of December is correct.
The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,4/1/15 18:36,0,0,1,,,1,NULL,,,1,,0,9/10/63,0,
0,19915,75,1,0,0,1442,0,0,Mar-66,1966-03-00,38561,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,9/11/15 18:55,0,0,1,,,1,NULL,,,1,,0,,0,
0,18559,15,,0,0,1570,0,0,Aug-64,1964-08-00,42891,0.12 USD,36,0,,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,4/28/15 12:42,0,0,1,,,1,NULL,,,1,,0,5/12/64,0,
0,18753,18,1,0,0,1570,0,0,Nov-64,1964-11-00,42895,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,11/10/14 19:17,0,0,1,,,1,NULL,,,1,,0,,0,
0,18900,20,,0,0,1570,0,0,Jan-65,1/10/65,42897,0.12 USD,36,0,,0,Stan Lee,0,,2/6/01 0:00,11/10/14 19:17,0,0,1,,,1,NULL,,,1,,0,,0,
1,0,19909,26,1,0,0,1571,0,0,Mar-66,3/10/66,43339,0.12 USD,36,0,monthly,0,Stan Lee,0,,2/6/01 0:00,10/10/14 12:32,0,0,1,,,1,NULL,,,1,,0,,0
0,17322,9,1,0,0,1482,0,0,Dec-62,1962-12-00,40117,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in U. S. Copyright Office filings.,2/6/01 0:00,3/31/15 11:48,0,0,1,,,1,NULL,,,1,,0,9/4/62,0,
0,17618,13,1,0,0,1482,0,0,Apr-63,1963-04-00,40121,0.12 USD,36,0,monthly,0,Stan Lee,0,The on-sale date is the publication date reported in the U. S. Copyright Office filings.,2/6/01 0:00,8/2/15 1:28,0,0,1,,,1,NULL,,,1,,0,1/3/63,0,
