id_person_dim,surname,forename,person_title,person_role,alt_name,m_f,MB,BS,TT,YX,RZ,CHOICE
1895,Horowitz,D.,NULL,NULL,NULL,NULL,,,NULL,,,
1936,Krohn,W.A.,NULL,NULL,NULL,NULL,,,NULL,,,
1942,Sheffield,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
1946,Brenner,J.,NULL,NULL,NULL,NULL,,,NULL,,,
1097,NULL,unsigned,NULL,NULL,NULL,NULL,,,NULL,,,
2014,Hoppe,R.,NULL,NULL,NULL,NULL,,,NULL,,,
2039,The Lawgiver,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
2063,Gortel,T.,NULL,NULL,NULL,NULL,,,NULL,,,
2119,Carl,T.W.,NULL,NULL,NULL,NULL,,,NULL,,,
2125,Miller,D.W.,NULL,NULL,NULL,NULL,,,NULL,,,
2133,Howard\'s Planet,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
2134,Manor,Bozo,NULL,NULL,NULL,NULL,,,M,,,
2157,NULL,S.T.,NULL,NULL,NULL,NULL,,,NULL,,,
2158,NULL,C.,NULL,NULL,NULL,NULL,,,NULL,,,
2170,Webb,D.B.,NULL,NULL,NULL,NULL,,,NULL,,,
2119,Carl,T.W.,NULL,NULL,NULL,NULL,,,NULL,,,
2187,Haleen,Brentano,NULL,NULL,NULL,NULL,,,M,,,
2199,Robbins,M.E.,NULL,NULL,NULL,NULL,,,NULL,,,
2245,Gorbolevsky,A.F.,NULL,NULL,NULL,NULL,,,NULL,,,
2247,Quotey,Commander,NULL,NULL,NULL,NULL,,,M,,,
2247,Quotey,Commander,NULL,NULL,NULL,NULL,,,M,,,
2309,Mason,Own,NULL,NULL,NULL,NULL,,,M,,,
2343,Rotz,Rhiman,NULL,NULL,NULL,NULL,,,M,,,
2344,Coutrouboussis,Panayote,NULL,NULL,NULL,NULL,,,M,,,
2456,Corbett,Besco,NULL,NULL,NULL,NULL,,,M,,,
2505,Cox,S.L.,NULL,NULL,NULL,NULL,,,NULL,,,
2544,Pressed Rat,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
2545,Warthog,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
2566,Haydam,Ullrich,NULL,NULL,NULL,NULL,,,M,,,
2580,Thurfer,Thilver,NULL,NULL,NULL,NULL,,,M,,,
2581,Plummer,R.E.,NULL,NULL,NULL,NULL,,,NULL,,,
2624,Brugg,R. M.,NULL,NULL,NULL,NULL,,,NULL,,,
2630,Tanner,D.S.,NULL,NULL,NULL,NULL,,,NULL,,,
2638,White,Moose,NULL,NULL,NULL,NULL,,,M,,,
2648,Tallmon,T.K.,NULL,NULL,NULL,NULL,,,NULL,,,
2665,Coloni,Harri,NULL,NULL,NULL,NULL,,,M,,,
2680,Tiede,G.B.,NULL,NULL,NULL,NULL,,,NULL,,,
2685,Druid,NULL,Rev.,NULL,NULL,NULL,,,NULL,,,
2708,Mills,W.P.,NULL,NULL,NULL,NULL,,,NULL,,,
2716,Pouncey,T.E.,NULL,NULL,NULL,NULL,,,NULL,,,
2758,Geo. Heldekat,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
2791,Craig,Irate,NULL,NULL,NULL,NULL,,,M,,,
2810,Kiffney,Kiff,NULL,NULL,NULL,NULL,,,M,,,
2850,Sproule,Crombie,NULL,NULL,NULL,NULL,,,M,,,
2910,Owens,Stoner,NULL,NULL,NULL,NULL,,,M,,,
2913,\'The Grey Mouser\',NULL,NULL,NULL,NULL,NULL,,,NULL,,,
2927,Clark,wyde,NULL,NULL,NULL,NULL,,,M,,,
2973,Toi,Fez,NULL,NULL,NULL,NULL,,,M,,,
2983,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
3018,Davis,C.B.,NULL,NULL,NULL,NULL,,,NULL,,,
3046,International Dr. Doom Fan Club,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
3047,Melville,H.,NULL,NULL,NULL,NULL,,,NULL,,,
3068,NULL,T.J.,NULL,NULL,NULL,NULL,,,NULL,,,
3083,Four,Element,NULL,NULL,NULL,NULL,,,NULL,,,
3092,The Ghost Writer,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
3204,Rapparlie,N.W.,NULL,NULL,NULL,NULL,,,NULL,,,
398,Rich,Walls,NULL,NULL,NULL,NULL,,,M,,,
3269,Students of Bethany College,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
3345,Johnson,L.J.,NULL,NULL,NULL,NULL,,,NULL,,,
3376,Wilson,C. C.,NULL,NULL,NULL,NULL,,,NULL,,,
3387,Benitz,R.,NULL,NULL,NULL,NULL,,,NULL,,,
3396,Helms,B. C.,Pvt.,NULL,NULL,NULL,,,NULL,,,
3399,PSC,NULL,NULL,NULL,NULL,NULL,,,NULL,,,
3402,Lind,R. J.,NULL,NULL,NULL,NULL,,,NULL,,,
3414,Armstrong,Phyg,NULL,NULL,NULL,NULL,,,M,,,
3431,Koala (Ricn Arnold),NULL,NULL,NULL,NULL,NULL,,,NULL,,,
3434,Robbins,K. J.,NULL,NULL,NULL,NULL,,,NULL,,,
385,Olson,Lenert,NULL,NULL,NULL,NULL,,,M,,,
398,Rich,Walls,NULL,NULL,NULL,NULL,,,M,,,
472,Montalvo,J.,NULL,NULL,NULL,NULL,,,NULL,,,
541,Chan,H.P.,NULL,NULL,NULL,NULL,,,NULL,,,
