year,gender
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,F
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,F
1964,NULL 
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,M
1964,F
1964,M
1964,M
1965,NULL 
1965,F
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,F
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,F
1965,M
1965,F
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,NULL 
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,F
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,NULL 
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,F
1965,M
1965,M
1965,F
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,M
1965,NULL 
1965,M
1965,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,NULL 
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,NULL 
1966,M
1966,F
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,NULL 
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,F
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,NULL 
1966,M
1966,F
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
1966,M
